"","lat","lng","type","distance","site","state","latitude","longitude"
"212",47.2996117,-101.6275022,"Essential Services",17296.9318748243,"1002440","North Dakota",47.360814,-101.838222
"213",47.303441,-101.624322,"Essential Services",17355.845490021,"1002440","North Dakota",47.360814,-101.838222
"214",47.2948543,-101.6235815,"Essential Services",17781.9491594332,"1002440","North Dakota",47.360814,-101.838222
"215",47.5483176,-101.8533512,"Essential Services",20903.847774117,"1002440","North Dakota",47.360814,-101.838222
"216",36.1922574,-101.1891732,"Essential Services",16757.4040261632,"1009999","Texas",36.2653,-101.026
"217",36.3987206,-100.8018941,"Essential Services",24990.018616708,"1009999","Texas",36.2653,-101.026
"218",36.3987205,-100.8018618,"Essential Services",24992.341593256,"1009999","Texas",36.2653,-101.026
"219",36.31936,-100.9693129,"Essential Services",7879.4072779082,"1009999","Texas",36.2653,-101.026
"220",36.2014698,-101.1919345,"Essential Services",16507.1770035467,"1009999","Texas",36.2653,-101.026
"221",36.1996856,-101.1916911,"Essential Services",16574.1710673866,"1009999","Texas",36.2653,-101.026
"222",36.3733318,-100.8031225,"Essential Services",23329.1690308485,"1009999","Texas",36.2653,-101.026
"223",36.1982761,-101.1918484,"Essential Services",16656.6611672542,"1009999","Texas",36.2653,-101.026
"224",36.1974818,-101.1926055,"Essential Services",16757.1874629404,"1009999","Texas",36.2653,-101.026
"225",36.394559,-100.8016338,"Essential Services",24736.9147991499,"1009999","Texas",36.2653,-101.026
"226",36.3946276,-100.8010115,"Essential Services",24786.7589681227,"1009999","Texas",36.2653,-101.026
"227",36.3987313,-100.8016821,"Essential Services",25006.0173033614,"1009999","Texas",36.2653,-101.026
"228",36.3948644,-100.8021897,"Essential Services",24716.171468868,"1009999","Texas",36.2653,-101.026
"229",36.3989627,-100.8017577,"Essential Services",25015.8524297519,"1009999","Texas",36.2653,-101.026
"230",36.1988748,-101.1913563,"Essential Services",16587.2980271707,"1009999","Texas",36.2653,-101.026
"231",36.1995483,-101.1944774,"Essential Services",16805.7810548819,"1009999","Texas",36.2653,-101.026
"232",36.1902512,-101.20383,"Essential Services",18022.225690539,"1009999","Texas",36.2653,-101.026
